City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
267,San Quintin,MX,30.4833,-115.95,74.41,74,7,10.25,clear sky
268,Vostok,RU,46.4856,135.8833,73.24,39,4,10.96,clear sky
269,Massakory,TD,12.996,15.7293,81.14,64,87,8.57,overcast clouds
270,Sovetskiy,RU,61.3614,63.5842,61.92,64,100,5.12,overcast clouds
271,Ca Mau,VN,9.1769,105.15,83.53,74,86,10.27,light rain
272,Broome,US,42.2506,-75.833,67.35,86,0,6.91,clear sky
273,Karambakkudi,IN,10.4667,79.1333,80.91,61,100,8.28,overcast clouds
274,Cassilandia,BR,-19.1133,-51.7342,57.74,89,100,9.89,light rain
275,Lerwick,GB,60.1545,-1.1494,59.0,81,86,23.15,overcast clouds
276,Hovd,MN,48.0056,91.6419,72.12,33,42,1.59,scattered clouds
277,Sikonge,TZ,-5.6333,32.7667,60.4,51,11,6.06,few clouds
278,Luderitz,NA,-26.6481,15.1594,54.34,84,1,6.93,clear sky
279,Narsaq,GL,60.9167,-46.05,46.62,79,99,1.52,overcast clouds
280,Talaya,RU,61.3833,152.75,70.23,46,100,11.86,overcast clouds
281,Saint-Pierre,RE,-21.3393,55.4781,65.88,70,75,25.32,broken clouds
282,Rabak,SD,13.1809,32.74,77.2,76,90,10.36,overcast clouds
283,Chilca,PE,-12.5211,-76.7372,60.53,86,63,4.59,broken clouds
284,Severo-Kurilsk,RU,50.6789,156.125,55.71,98,100,15.46,overcast clouds
285,Ulladulla,AU,-35.35,150.4667,56.43,59,32,5.21,scattered clouds
286,Baracoa,CU,20.3467,-74.4958,79.54,87,9,8.72,clear sky
287,Boca Do Acre,BR,-8.7522,-67.3978,72.5,95,98,6.02,overcast clouds
288,Mount Gambier,AU,-37.8333,140.7667,54.21,58,100,13.42,light rain
289,Birin,NP,26.8865,88.0718,66.13,92,100,5.14,overcast clouds
290,Snezhnogorsk,RU,69.1933,33.2531,49.78,88,92,4.23,overcast clouds
291,Gravdal,NO,68.1214,13.5031,52.9,94,100,21.79,light rain
292,Passo De Camaragibe,BR,-9.2368,-35.4901,71.15,91,0,0.2,clear sky
293,Hareid,NO,62.3714,6.0263,64.54,89,100,15.99,overcast clouds
294,Shawnee,US,39.05,-95.7669,82.85,65,0,3.44,clear sky
295,Souillac,MU,-20.5167,57.5167,70.18,64,75,16.11,broken clouds
296,Husavik,IS,66.0449,-17.3389,52.52,89,100,2.91,overcast clouds
297,Castro,BR,-24.7911,-50.0119,53.91,96,100,7.34,light rain
298,New Norfolk,AU,-42.7826,147.0587,52.92,41,5,3.38,clear sky
299,Warah,PK,27.4481,67.7978,93.29,53,43,4.65,scattered clouds
300,Sorong,ID,-0.8833,131.25,81.46,76,65,6.31,broken clouds
301,Utkivka,UA,49.7858,36.0753,65.79,78,99,7.63,overcast clouds
302,Suez,EG,29.9737,32.5263,75.99,72,0,8.59,clear sky
303,Oksfjord,NO,70.2396,22.3479,50.18,90,95,6.04,overcast clouds
304,Henties Bay,NA,-22.116,14.2845,52.25,94,10,0.51,clear sky
305,Kostomuksha,RU,64.571,30.5767,50.67,76,100,5.19,overcast clouds
306,Hobyo,SO,5.3505,48.5268,76.86,85,100,23.73,overcast clouds
